application/msword,PageDescription
application/pdf,PageDescription
application/vnd.ms-excel,Spreadsheet
application/vnd.ms-powerpoint,Presentation
application/vnd.openxmlformats-officedocument.wordprocessingml.document,PageDescription
image/jpeg,Image
application/x-shockwave-flash,Video
application/vnd.sun.xml.writer,PageDescription
application/vnd.openxmlformats-officedocument.presentationml.presentation,Presentation
application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Spreadsheet
application/vnd.sun.xml.impress,Presentation
image/tiff,Image
video/mp4,Video
application/mp4,Video
application/octet-stream,Unknown
application/rtf,PageDescription
audio/x-wav,Audio
audio/x-ms-wma,Audio
video/mpeg,Video
audio/x-ms-wmv,Audio
image/gif,Image
text/html,HTML
image/x-bmp,Image
video/x-msvideo,Video
application/vnd.ms-wpl,PageDescription
application/vnd.ms-asf,Video
audio/mpeg,Audio
image/png,Image
text/plain,Text
application/powerpoint,Presentation
image/vnd.adobe.photoshop,Image
application/excel,Spreadsheet
video/x-ms-vob,Video
application/x-mspublisher,PageDescription
application/vnd.sun.xml.calc,Spreadsheet
application/mbox,Email
application/vnd.oasis.opendocument.text,PageDescription
application/postscript,PageDescription
video/quicktime,Video
application/access,Database
audio/x-aiff,Audio
application/xml,StructuredText
audio/AMR,Audio
application/x-director,Unknown
audio/MP4A-LATM,Audio
video/x-flv,Video
application/vnd.ms-excel.sheet.binary.macroEnabled.12,Spreadsheet
video/x-m4v,Video
application/zip,Archive
application/x-spss,Dataset
application/vnd.ms-word.document.macroEnabled.12,PageDescription
text/css,SourceCode
video/DV,Video
application/mxf,Video
text/vtt,Text
application/x-iwork-keynote-sffkey,Presentation
application/x-iwork-numbers-sffnumbers,Spreadsheet
application/x-iwork-pages-sffpages,PageDescription
